n_roi,n_full,psnr_full,psnr_mv,psnr_full_roi,psnr_mv_roi,xnull_full,xnull_full_roi,xnull_mv,xnull_mv_roi
273,2,24.04516086857258,18.0515605435063,21.491622659785836,20.530555175442057,0.0023486696,0.003633867,0.09043138,0.008153786
273,3,24.04659672611818,19.242058026820292,21.49155823189835,21.191922092369605,0.0023484994,0.0036342833,0.06576927,0.004984454
273,9,24.04666623199318,20.95249228792758,21.491457656236825,21.461617186810766,0.0023275279,0.003632926,0.03838273,0.0036905347
273,18,24.04576261577772,21.812241082556547,21.49103142307859,21.473581069784828,0.0023096215,0.0036331082,0.027570348,0.0036015043
273,32,24.045630102630913,22.557134533893006,21.490699215077743,21.474741909413808,0.002278777,0.0036296982,0.01892069,0.0035650327
273,49,24.04881323177794,23.081107789220773,21.49047595286965,21.47907872072281,0.0022450138,0.003625833,0.013367143,0.0035361522
273,69,24.049149476818805,23.446686313885074,21.49066787383798,21.480745075487675,0.0022275029,0.0036198723,0.009406767,0.003519446
273,94,24.049402315120545,23.716474535536747,21.49037625433474,21.48469115918976,0.002183012,0.003615461,0.006392253,0.0034981868
273,122,24.05073795861255,23.878666733565233,21.488490325362626,21.488468269872506,0.002155455,0.0036108848,0.00452329,0.0034805944
273,154,24.05272222832288,23.97375351832345,21.488320310362642,21.4934736129955,0.0021219938,0.003605298,0.0032943883,0.0034707964
273,190,24.055620998422445,24.036440243898923,21.491438008323872,21.499105826895388,0.0020794044,0.0035907347,0.0025230625,0.0034490053
273,229,24.059719084243657,24.065974957820746,21.49371664688737,21.5010344859295,0.002043883,0.003578155,0.0021388629,0.0034373056
273,273,24.04894431205269,24.06167633421361,21.491785143967906,21.49641856404333,0.002346214,0.0036327294,0.0023221557,0.0035270695
